,importance
remainder__Passport,0.14905542
cat__ProductPitched_Basic,0.13159299
cat__MaritalStatus_Single,0.06366148
remainder__CityTier,0.048198313
cat__Occupation_Large Business,0.045111958
cat__ProductPitched_Super Deluxe,0.043449562
remainder__PreferredPropertyStar,0.043067146
cat__ProductPitched_Standard,0.040220838
remainder__NumberOfTrips,0.0354083
remainder__DurationOfPitch,0.035370607
remainder__NumberOfFollowups,0.03529532
remainder__PitchSatisfactionScore,0.034672067
cat__ProductPitched_Deluxe,0.033787664
remainder__Age,0.03274751
cat__Occupation_Small Business,0.031996775
