overall_rank,rank,model,validation_f1,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,stage,best_params
1,1,XGBoost,0.788135593220339,0.9419354838709677,0.8442622950819673,0.8583333333333333,0.8512396694214877,0.9698833333333334,tuned,"{'model__learning_rate': 0.1, 'model__n_estimators': 200}"
2,1,XGBoost,0.7844827586206896,0.9258064516129032,0.8083333333333333,0.8083333333333333,0.8083333333333333,0.9481166666666666,baseline,
3,2,Bagging,0.7439613526570048,0.9306451612903226,0.9139784946236559,0.7083333333333334,0.7981220657276995,0.9774250000000001,tuned,"{'model__max_samples': 1.0, 'model__n_estimators': 30}"
4,2,Decision Tree,0.7310924369747899,0.9064516129032258,0.7583333333333333,0.7583333333333333,0.7583333333333333,0.8501666666666666,baseline,
5,3,Bagging,0.6802030456852792,0.9064516129032258,0.8974358974358975,0.5833333333333334,0.7070707070707071,0.9294250000000001,baseline,
6,3,Decision Tree,0.6568265682656826,0.8419354838709677,0.5679012345679012,0.7666666666666667,0.6524822695035462,0.8530583333333334,tuned,"{'model__max_depth': 10, 'model__min_samples_split': 5}"
7,4,Random Forest,0.6033519553072626,0.9064516129032258,0.918918918918919,0.5666666666666667,0.7010309278350515,0.9789166666666668,tuned,"{'model__max_depth': 20, 'model__n_estimators': 200}"
8,4,Random Forest,0.5747126436781609,0.885483870967742,0.8656716417910447,0.48333333333333334,0.6203208556149733,0.9571916666666667,baseline,
9,5,Gradient Boosting,0.5326633165829145,0.885483870967742,0.810126582278481,0.5333333333333333,0.6432160804020101,0.9023833333333333,tuned,"{'model__learning_rate': 0.1, 'model__n_estimators': 200}"
10,5,Gradient Boosting,0.47668393782383417,0.864516129032258,0.75,0.45,0.5625,0.8781666666666668,baseline,
11,6,AdaBoost,0.4563758389261745,0.7564516129032258,0.40718562874251496,0.5666666666666667,0.4738675958188153,0.7286083333333334,baseline,
12,6,AdaBoost,0.4563758389261745,0.7564516129032258,0.40718562874251496,0.5666666666666667,0.4738675958188153,0.7154583333333333,tuned,"{'model__learning_rate': 1.0, 'model__n_estimators': 50}"
